national_material_code,standardized_description,category,material_type,uom,cpses_sharing,num_legacy_codes,avg_rate_inr,min_rate_inr,max_rate_inr,confidence,status
NMC-FAST-WSHR-050B2B5D,FLAT WASHER | M10 | ZN | DIN 125 | NOS,fastener,flat washer,NOS,"CPCL,IOCL",3,3.0,3.0,3.0,0.6838,AUTO_MATCHED
NMC-VLV-BALL-69ADE0C2,BALL VALVE | 2.0IN | SS316 | 800 | FLG | NOS,valve,ball valve,NOS,"CPCL,IOCL,SAIL",3,1389.0,1297.0,1519.0,0.785,AUTO_MATCHED
NMC-PIPE-D36FD359,PIPE | 2.0IN | TP316 | SCH10 | MTR,pipe,pipe,MTR,"CPCL,IOCL,NTPC",3,937.0,858.0,1007.0,0.9635,AUTO_MATCHED
NMC-LUB-TURBOIL-2C31E7ED,TURBINE OIL | MINERAL | VG32 | 20L | PKT,lubricant,turbine oil,PKT,"CPCL,IOCL",3,362.67,347.0,374.0,0.7991,AUTO_MATCHED
NMC-PMP-GEAR-3E7025AA,GEAR PUMP | 0.5LPM | 10BAR | 1.5KW | GLAND | NOS,pump,gear pump,NOS,"CPCL,IOCL,SAIL",4,15624.25,14517.0,16639.0,0.7097,AUTO_MATCHED
NMC-INS-LEVEL-08C254AD,LEVEL INDICATOR | 1.0IN | MAGFLOAT | NPT | 2000MM | NOS,instrument,level indicator,NOS,"CPCL,IOCL,NTPC",3,13088.33,11896.0,13712.0,0.9642,AUTO_MATCHED
NMC-FIT-ELBOW-A9A50468,ELBOW | 3.0IN | WPB | SCH40 | 90DEG | NOS,fitting,elbow,NOS,"CPCL,IOCL,SAIL",3,380.33,379.0,382.0,0.9523,AUTO_MATCHED
NMC-ELEC-MOTOR-084F0739,INDUCTION MOTOR | 5HP | 1440RPM | B3 | 3PH | NOS,electrical,induction motor,NOS,"CPCL,IOCL,SAIL",3,18422.33,16190.0,21158.0,0.8276,AUTO_MATCHED
NMC-LUB-GREASE-3190FFDB,GREASE | LITHIUM | NLGI2 | 5KG | PKT,lubricant,grease,PKT,"CPCL,GAIL,IOCL",3,411.0,400.0,423.0,0.9261,AUTO_MATCHED
NMC-FAST-BOLT-DEE61ADC,HEX BOLT | M20X80 | 8.8 | BLK | DIN 933 | NOS,fastener,hex bolt,NOS,"CPCL,GAIL,IOCL,NTPC,SAIL",5,18.4,16.0,21.0,0.7632,AUTO_MATCHED
NMC-ELEC-MCB-3B29D363,MCB | 32A | 4P | C | NOS,electrical,mcb,NOS,"CPCL,NTPC,SAIL",3,463.0,416.0,488.0,0.9546,AUTO_MATCHED
NMC-BRG-ROLL-F3756901,ROLLER BEARING | NU310 | OPEN | NOS,bearing,roller bearing,NOS,"CPCL,NTPC,SAIL",3,1933.0,1754.0,2070.0,0.7521,AUTO_MATCHED
NMC-FAST-NUT-69E933C6,HEX NUT | M14 | 8 | HDG | DIN 934 | NOS,fastener,hex nut,NOS,"CPCL,IOCL,NTPC,SAIL",4,6.25,6.0,7.0,0.7018,AUTO_MATCHED
NMC-VLV-GATE-B620F7D2,GATE VALVE | 3.0IN | CAST STEEL | 150 | FLG | NOS,valve,gate valve,NOS,"CPCL,IOCL,SAIL",3,4709.33,4494.0,4911.0,0.9661,AUTO_MATCHED
NMC-VLV-GLOBE-4DDB30E4,GLOBE VALVE | 2.0IN | CAST STEEL | 150 | FLG | NOS,valve,globe valve,NOS,"CPCL,SAIL",2,3486.5,3460.0,3513.0,0.8653,AUTO_MATCHED
NMC-LUB-TURBOIL-91AEF340,TURBINE OIL | MINERAL | VG46 | 20L | PKT,lubricant,turbine oil,PKT,"CPCL,IOCL,NTPC,SAIL",5,347.0,314.0,393.0,0.9534,AUTO_MATCHED
NMC-FAST-BOLT-98E41B45,HEX BOLT | M16X60 | 8.8 | BLK | DIN 931 | NOS,fastener,hex bolt,NOS,"CPCL,IOCL,NTPC",3,19.67,19.0,20.0,0.7358,AUTO_MATCHED
NMC-VLV-GATE-225BC40F,GATE VALVE | 4.0IN | CAST STEEL | 300 | FLG | NOS,valve,gate valve,NOS,"CPCL,IOCL,NTPC",3,5029.0,4873.0,5199.0,0.8087,AUTO_MATCHED
NMC-BRG-BALL-D177ABC5,BALL BEARING | 6205 | 2RS | NOS,bearing,ball bearing,NOS,"CPCL,IOCL,NTPC",4,277.25,255.0,304.0,0.9384,AUTO_MATCHED
NMC-ELEC-MOTOR-2B4CEF41,INDUCTION MOTOR | 10HP | 1440RPM | B3 | 3PH | NOS,electrical,induction motor,NOS,"CPCL,IOCL,SAIL",4,18939.0,17393.0,20133.0,0.8015,AUTO_MATCHED
NMC-VLV-BALL-94148AE7,BALL VALVE | 1.0IN | SS316 | 150 | SCR | NOS,valve,ball valve,NOS,"CPCL,IOCL,SAIL",3,1343.33,1311.0,1366.0,0.8463,AUTO_MATCHED
NMC-LUB-GEAROIL-77A41273,GEAR OIL | EP | VG220 | 20L | PKT,lubricant,gear oil,PKT,"CPCL,IOCL,SAIL",4,283.75,264.0,304.0,0.8322,AUTO_MATCHED
NMC-PIPE-3B59153B,PIPE | 3.0IN | A106B | SCH40 | MTR,pipe,pipe,MTR,"CPCL,IOCL",2,312.5,295.0,330.0,0.9816,AUTO_MATCHED
NMC-PMP-CENT-55E26E83,CENTRIFUGAL PUMP | 45M3/HR | 50M | 7.5KW | MECH | NOS,pump,centrifugal pump,NOS,"IOCL,SAIL",4,28356.0,25112.0,31631.0,0.77,AUTO_MATCHED
NMC-ELEC-CONTR-E06094F6,CONTACTOR | 32A | 4P | NOS,electrical,contactor,NOS,"IOCL,SAIL",2,1885.5,1672.0,2099.0,0.9615,AUTO_MATCHED
NMC-PIPE-E9C705C9,PIPE | 1.0IN | A106B | SCH80 | MTR,pipe,pipe,MTR,"IOCL,NTPC",2,344.5,327.0,362.0,0.9555,AUTO_MATCHED
NMC-LUB-GREASE-31C2411A,GREASE | LITHIUM EP | NLGI2 | 18KG | PKT,lubricant,grease,PKT,"IOCL,NTPC",3,455.33,429.0,472.0,0.9628,AUTO_MATCHED
NMC-FIT-TEE-23188E18,TEE | 2.0IN | WPB | SCH40 | NOS,fitting,tee,NOS,"IOCL,NTPC,SAIL",3,438.67,369.0,508.0,0.9599,AUTO_MATCHED
NMC-FAST-SHCS-CACBA14B,SOCKET HEAD CAP SCREW | M10X35 | 12.9 | ZN | DIN 912 | NOS,fastener,socket head cap screw,NOS,"IOCL,NTPC,SAIL",3,23.33,20.0,26.0,0.7947,AUTO_MATCHED
NMC-FIT-FLANGE-E5ECA81B,FLANGE | 3.0IN | A105 | 300 | WN | ASTM A105 | NOS,fitting,flange,NOS,"IOCL,SAIL",2,630.0,596.0,664.0,0.9601,AUTO_MATCHED
NMC-BRG-ROLL-A59ED149,ROLLER BEARING | NU310E | OPEN | NOS,bearing,roller bearing,NOS,"IOCL,SAIL",2,1787.5,1737.0,1838.0,0.9633,AUTO_MATCHED
NMC-BRG-BALL-785B826A,BALL BEARING | 6305 | ZZ | NOS,bearing,ball bearing,NOS,"IOCL,SAIL",2,259.5,256.0,263.0,0.9633,AUTO_MATCHED
NMC-FAST-WSHR-C3443799,FLAT WASHER | M12 | ZN | DIN 125 | NOS,fastener,flat washer,NOS,"IOCL,NTPC,SAIL",3,3.0,3.0,3.0,0.9578,AUTO_MATCHED
NMC-FIT-TEE-D4E01D82,TEE | 1.0IN | WPB | SCH80 | ASTM A234 | NOS,fitting,tee,NOS,"IOCL,NTPC",2,474.0,448.0,500.0,0.7677,AUTO_MATCHED
NMC-PMP-CENT-9A7BC73B,CENTRIFUGAL PUMP | 25M3/HR | 32M | 3.7KW | MECH | NOS,pump,centrifugal pump,NOS,"IOCL,NTPC,SAIL",4,31488.75,28469.0,34865.0,0.6752,AUTO_MATCHED
NMC-ELEC-CONTR-14066646,CONTACTOR | 65A | 3P | NOS,electrical,contactor,NOS,"IOCL,SAIL",2,1905.5,1796.0,2015.0,0.9581,AUTO_MATCHED
NMC-ELEC-MCB-E7B6F1C3,MCB | 63A | 4P | C | NOS,electrical,mcb,NOS,"IOCL,NTPC",2,525.5,513.0,538.0,0.9701,AUTO_MATCHED
NMC-ELEC-CONTR-DADD3F34,CONTACTOR | 65A | 4P | NOS,electrical,contactor,NOS,"IOCL,SAIL",2,1800.5,1684.0,1917.0,0.9544,AUTO_MATCHED
NMC-FAST-NUT-5B1C0A27,HEX NUT | M12 | 8 | HDG | DIN 934 | NOS,fastener,hex nut,NOS,"IOCL,NTPC,SAIL",4,6.25,6.0,7.0,0.7607,AUTO_MATCHED
NMC-FAST-NUT-49C27164,HEX NUT | M20 | 8 | HDG | DIN 934 | NOS,fastener,hex nut,NOS,"IOCL,NTPC,SAIL",3,6.0,6.0,6.0,0.7731,AUTO_MATCHED
NMC-LUB-GREASE-C5B29763,GREASE | LITHIUM | NLGI3 | 5KG | PKT,lubricant,grease,PKT,"NTPC,SAIL",2,429.5,370.0,489.0,0.9511,AUTO_MATCHED
NMC-FAST-WSHR-BE15D0D8,FLAT WASHER | M18 | ZN | DIN 125 | NOS,fastener,flat washer,NOS,"NTPC,SAIL",2,3.0,3.0,3.0,0.9411,AUTO_MATCHED
NMC-BRG-BALL-D9174EE7,BALL BEARING | 6210 | OPEN | NOS,bearing,ball bearing,NOS,"NTPC,SAIL",2,265.0,233.0,297.0,0.9573,AUTO_MATCHED
NMC-FAST-BOLT-99946D92,HEX BOLT | M24X96 | 8.8 | HDG | DIN 933 | NOS,fastener,hex bolt,NOS,"NTPC,SAIL",2,18.0,17.0,19.0,0.7123,AUTO_MATCHED
NMC-LUB-GREASE-7BB63DCA,GREASE | LITHIUM EP | NLGI2 | 5KG | PKT,lubricant,grease,PKT,"NTPC,SAIL",2,457.0,401.0,513.0,0.9404,AUTO_MATCHED
NMC-FAST-STUD-397C2150,STUD BOLT | B7 | A193 | PLN | ASTM A193 | NOS,fastener,stud bolt,NOS,CPCL,1,95,,,1.0,NEEDS_REVIEW
PROVISIONAL-REDUCER-CPCL-MAT100064,REDUCER | WPB | SCH40 | NOS,fitting,reducer,NOS,CPCL,1,512,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-NUT-83B5D5AB,HEX NUT | 8 | NOS,fastener,hex nut,NOS,CPCL,1,6,,,1.0,NEEDS_REVIEW
PROVISIONAL-PRESSURE-GAUGE-CPCL-MAT100087,PRESSURE GAUGE | 10KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,CPCL,1,1518,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-GEN-335817E7,UNKNOWN | A105 | 150 | SO | ASTM A105 | NOS,unknown,unknown,NOS,CPCL,1,593,,,1.0,NEEDS_REVIEW
NMC-LUB-HYDOIL-A8B56411,HYDRAULIC OIL | MINERAL | 20L | PKT,lubricant,hydraulic oil,PKT,CPCL,1,311,,,1.0,NEEDS_REVIEW
NMC-LUB-GREASE-A02DEF9B,GREASE | LITHIUM | NLGI2 | 18KG | PKT,lubricant,grease,PKT,CPCL,1,442,,,1.0,UNIQUE
PROVISIONAL-ELBOW-CPCL-MAT100058,ELBOW | WPB | SCH40 | 90DEG | NOS,fitting,elbow,NOS,CPCL,1,365,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-BALL-BEARING-CPCL-MAT100038,BALL BEARING | OPEN | NOS,bearing,ball bearing,NOS,CPCL,1,253,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-BRG-BALL-59D6D4C8,BALL BEARING | 6210 | NOS,bearing,ball bearing,NOS,CPCL,1,264,,,1.0,NEEDS_REVIEW
NMC-FAST-WSHR-2BE32976,FLAT WASHER | M12 | NOS,fastener,flat washer,NOS,CPCL,1,3,,,1.0,NEEDS_REVIEW
NMC-PMP-CENT-D0C711BC,CENTRIFUGAL PUMP | 25M3/HR | 32M | NOS,pump,centrifugal pump,NOS,CPCL,1,29155,,,1.0,NEEDS_REVIEW
PROVISIONAL-REDUCER-CPCL-MAT100063,REDUCER | WPB | SCH40 | NOS,fitting,reducer,NOS,CPCL,1,507,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-BALL-BEARING-CPCL-MAT100033,BALL BEARING | 6204 | NOS,bearing,ball bearing,NOS,CPCL,1,264,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-STUD-5C3AEBD1,STUD BOLT | M20X100 | B16 | A193 | PLN | ASTM A193 | NOS,fastener,stud bolt,NOS,CPCL,1,93,,,1.0,UNIQUE
NMC-FAST-BOLT-009BA237,HEX BOLT | M24X96 | HDG | DIN 933 | NOS,fastener,hex bolt,NOS,CPCL,1,19,,,1.0,NEEDS_REVIEW
NMC-FAST-BOLT-AE16E982,HEX BOLT | M16X60 | 10.9 | BLK | NOS,fastener,hex bolt,NOS,CPCL,1,17,,,1.0,UNIQUE
NMC-GEN-8CA604BF,UNKNOWN | 1.1KV | PVC | 2CX1.5 | NOS,unknown,unknown,NOS,CPCL,1,95,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-CPCL-MAT100007,HEX BOLT | M10X30 | PLN | DIN 933 | NOS,fastener,hex bolt,NOS,CPCL,1,18,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-PIPE-8A2266BD,PIPE | 6.0IN | A106B | SCH40 | MTR,pipe,pipe,MTR,CPCL,1,301,,,1.0,UNIQUE
NMC-VLV-CHECK-85839370,CHECK VALVE | 3.0IN | CAST STEEL | FLG | NOS,valve,check valve,NOS,CPCL,1,2906,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-CPCL-MAT100009,HEX BOLT | M12X50 | PLN | DIN 931 | NOS,fastener,hex bolt,NOS,CPCL,1,19,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-HEX-NUT-CPCL-MAT100015,HEX NUT | M10 | NOS,fastener,hex nut,NOS,CPCL,1,6,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-CONTR-14066646C9,CONTACTOR | 65A | 3P | NOS,electrical,contactor,NOS,CPCL,1,1865,,,1.0,NEEDS_REVIEW
PROVISIONAL-THERMOWELL-CPCL-MAT100089,THERMOWELL | 2.0IN | 150MM | NOS,instrument,thermowell,NOS,CPCL,1,943,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-PIPE-270F8F6B,PIPE | 2.0IN | A106B | MTR,pipe,pipe,MTR,CPCL,1,290,,,1.0,NEEDS_REVIEW
NMC-FIT-TEE-8F038CFC,TEE | SCH80 | NOS,fitting,tee,NOS,CPCL,1,407,,,1.0,NEEDS_REVIEW
NMC-ELEC-CABLE-05398EFD,CABLE | 3CX4.0 | NOS,electrical,cable,NOS,CPCL,1,90,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-CPCL-MAT100008,HEX BOLT | M10X30 | PLN | DIN 933 | NOS,fastener,hex bolt,NOS,CPCL,1,19,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-HEX-NUT-CPCL-MAT100014,HEX NUT | M10 | PLN | DIN 934 | NOS,fastener,hex nut,NOS,CPCL,1,6,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-PRESSURE-GAUGE-CPCL-MAT100088,PRESSURE GAUGE | 6.0IN | 10KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,CPCL,1,1406,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-PIPE-CPCL-MAT100052,PIPE | A106B | SCH40 | MTR,pipe,pipe,MTR,CPCL,1,333,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FIT-TEE-FEF12A69,TEE | 1.0IN | WPB | SCH40 | NOS,fitting,tee,NOS,CPCL,1,416,,,1.0,UNIQUE
NMC-FAST-NUT-1FF5A693,HEX NUT | M12 | HDG | DIN 934 | NOS,fastener,hex nut,NOS,CPCL,1,6,,,1.0,NEEDS_REVIEW
NMC-FAST-STUD-02D12816,STUD BOLT | A193 | PLN | ASTM A193 | NOS,fastener,stud bolt,NOS,CPCL,1,89,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-CPCL-MAT100034,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,CPCL,1,254,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-BALL-BEARING-CPCL-MAT100035,BALL BEARING | NOS,bearing,ball bearing,NOS,CPCL,1,276,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-SAFETY-VALVE-CPCL-MAT100051,SAFETY VALVE | BRONZE | 150 | SCR | NOS,valve,safety valve,NOS,CPCL,1,3958,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-CONTR-5F108558,CONTACTOR | 32A | NOS,electrical,contactor,NOS,CPCL,1,1825,,,1.0,NEEDS_REVIEW
NMC-FAST-NUT-996FDB1B,HEX NUT | 8 | HDG | DIN 934 | NOS,fastener,hex nut,NOS,CPCL,1,6,,,1.0,NEEDS_REVIEW
NMC-LUB-GEAROIL-EA2FBDC2,GEAR OIL | EP | VG320 | PKT,lubricant,gear oil,PKT,CPCL,1,313,,,1.0,NEEDS_REVIEW
PROVISIONAL-BALL-BEARING-CPCL-MAT100036,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,CPCL,1,269,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-CABLE-CPCL-MAT100071,CABLE | 1.1KV | XLPE | NOS,electrical,cable,NOS,CPCL,1,93,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-NUT-9CDA87DD,HEX NUT | M16 | DIN 934 | NOS,fastener,hex nut,NOS,GAIL,1,4.5,,,1.0,NEEDS_REVIEW
NMC-VLV-GATE-6A8586A5,GATE VALVE | FORGED STEEL | 800 | SW | NOS,valve,gate valve,NOS,GAIL,1,4100.0,,,1.0,NEEDS_REVIEW
NMC-FIT-ELBOW-F2654BCD,ELBOW | SCH40 | 45DEG | NOS,fitting,elbow,NOS,GAIL,1,310.0,,,1.0,NEEDS_REVIEW
NMC-GEN-F4678995,UNKNOWN | M10X30 | 12.9 | ZN | DIN 912 | NOS,unknown,unknown,NOS,GAIL,1,8.0,,,1.0,NEEDS_REVIEW
NMC-INS-THRMW-7EB3CAF2,THERMOWELL | SS316 | 300MM | NOS,instrument,thermowell,NOS,GAIL,1,2400.0,,,1.0,NEEDS_REVIEW
NMC-ELEC-MOTOR-3A73C7B8,INDUCTION MOTOR | 5HP | 1440RPM | B5 | 3PH | NOS,electrical,induction motor,NOS,IOCL,1,19503,,,1.0,UNIQUE
PROVISIONAL-BALL-BEARING-IOCL-RM-00035,BALL BEARING | 2RS | NOS,bearing,ball bearing,NOS,IOCL,1,265,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-PIPE-IOCL-RM-00056,PIPE | A106B | SCH40 | MTR,pipe,pipe,MTR,IOCL,1,335,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-VLV-GATE-9799EC46,GATE VALVE | 1.5IN | FORGED STEEL | SW | NOS,valve,gate valve,NOS,IOCL,1,4996,,,1.0,NEEDS_REVIEW
NMC-LUB-GEAROIL-7B99F3A4,GEAR OIL | EP | VG220 | PKT,lubricant,gear oil,PKT,IOCL,1,315,,,1.0,NEEDS_REVIEW
PROVISIONAL-HEX-BOLT-IOCL-RM-00010,HEX BOLT | M12X50 | PLN | DIN 931 | NOS,fastener,hex bolt,NOS,IOCL,1,20,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-ELEC-CABLE-E325F00D,CABLE | 1.1KV | PVC | 2CX1.5 | NOS,electrical,cable,NOS,IOCL,1,104,,,1.0,UNIQUE
NMC-VLV-CHECK-62102FCC,CHECK VALVE | 2.0IN | CAST IRON | 150 | FLG | NOS,valve,check valve,NOS,IOCL,1,3284,,,1.0,UNIQUE
NMC-ELEC-CABLE-E4C6BA97,CABLE | 1.1KV | XLPE | 4CX10 | NOS,electrical,cable,NOS,IOCL,1,94,,,1.0,UNIQUE
PROVISIONAL-HEX-NUT-IOCL-RM-00015,HEX NUT | M10 | PLN | DIN 934 | NOS,fastener,hex nut,NOS,IOCL,1,6,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
PROVISIONAL-FLAT-WASHER-IOCL-RM-00024,FLAT WASHER | ZN | DIN 125 | NOS,fastener,flat washer,NOS,IOCL,1,3,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-INS-THRMW-F76CE5DC,THERMOWELL | 2.0IN | SS316 | 150MM | NOS,instrument,thermowell,NOS,IOCL,1,936,,,1.0,UNIQUE
NMC-FIT-TEE-B78478A8,TEE | 1.0IN | ASTM A234 | NOS,fitting,tee,NOS,IOCL,1,473,,,1.0,NEEDS_REVIEW
NMC-FAST-SHCS-795ED271,SOCKET HEAD CAP SCREW | 12.9 | ZN | NOS,fastener,socket head cap screw,NOS,IOCL,1,25,,,1.0,NEEDS_REVIEW
NMC-INS-THRMW-43FE369D,THERMOWELL | 2.0IN | NOS,instrument,thermowell,NOS,IOCL,1,931,,,1.0,NEEDS_REVIEW
NMC-LUB-HYDOIL-0E20E898,HYDRAULIC OIL | MINERAL | VG46 | 20L | PKT,lubricant,hydraulic oil,PKT,IOCL,1,346,,,1.0,UNIQUE
PROVISIONAL-CABLE-IOCL-RM-00075,CABLE | 1.1KV | PVC | NOS,electrical,cable,NOS,IOCL,1,108,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-FAST-BOLT-C878F76D,HEX BOLT | 8.8 | ZN | IS 1364 | NOS,fastener,hex bolt,NOS,IOCL,1,20,,,1.0,NEEDS_REVIEW
PROVISIONAL-PRESSURE-GAUGE-IOCL-RM-00101,PRESSURE GAUGE | 6.0IN | 10KG | BOURDON | BSP | NOS,instrument,pressure gauge,NOS,IOCL,1,1573,,,0.5,PROVISIONAL — OFFICER REVIEW (indistinguishable twin)
NMC-VLV-GLOBE-AB4789FE,GLOBE VALVE | 2.0IN | FORGED STEEL | 800 | SW | NOS,valve,globe valve,NOS,IOCL,1,3810,,,1.0,UNIQUE
